Timestamp_Hrly	Dom_Wind_Direction_Hrly	ENV__Dur_(Hrs)_Hrly	Outside_Temp_(°F)_Hrly-Ave	Wind_Chill_(°F)_Hrly-Ave	Heat_Index_(°F)_Hrly-Ave	Dew_Point_(°F)_Hrly-Ave	Outside_Humidity_(%)_Hrly-Ave	Wind_Speed_(mph)_Hrly-Ave	Rain_Rate_(in/hr)_Hrly-Ave	Barometer_(inHg)_Hrly-Ave	Solar_Radiance_(W/m2)_Hrly-Ave	Gr_Roof_Temp_(°F)_Hrly-Ave	Wh_Roof_Temp_(°F)_Hrly-Ave	Outside_Temp_(°F)_Hrly-Min	Wind_Chill_(°F)_Hrly-Min	Heat_Index_(°F)_Hrly-Min	Dew_Point_(°F)_Hrly-Min	Outside_Humidity_(%)_Hrly-Min	Wind_Speed_(mph)_Hrly-Min	Rain_Rate_(in/hr)_Hrly-Min	Barometer_(inHg)_Hrly-Min	Solar_Radiance_(W/m2)_Hrly-Min	Gr_Roof_Temp_(°F)_Hrly-Min	Wh_Roof_Temp_(°F)_Hrly-Min	Outside_Temp_(°F)_Hrly-Max	Wind_Chill_(°F)_Hrly-Max	Heat_Index_(°F)_Hrly-Max	Dew_Point_(°F)_Hrly-Max	Outside_Humidity_(%)_Hrly-Max	Wind_Speed_(mph)_Hrly-Max	Rain_Rate_(in/hr)_Hrly-Max	Barometer_(inHg)_Hrly-Max	Solar_Radiance_(W/m2)_Hrly-Max	Gr_Roof_Temp_(°F)_Hrly-Max	Wh_Roof_Temp_(°F)_Hrly-Max
11:00:00.000 PM 12/31/2016NW1.000000	30.764417	24.656833	30.296833	22.818969	72.061667	6.494167	0.000000	29.831031	0.000000	31.887240	22.784941	29.799999	18.700001	29.400000	22.198000	71.000000	0.000000	0.000000	29.813999	0.000000	31.836332	19.821331	31.799999	31.400000	31.299999	23.464317	73.000000	20.000000	0.000000	29.853001	0.000000	31.931093	25.204300
12:00:00.000 AM 1/1/2017NW	1.000556	28.777583	25.768917	28.377583	21.721017	74.596667	3.028333	0.000000	29.865311	0.000000	31.888169	17.261585	27.900000	20.200001	27.500000	21.097473	73.000000	0.000000	0.000000	29.853001	0.000000	31.834982	14.739195	29.799999	29.799999	29.400000	22.424509	76.000000	8.000000	0.000000	29.884001	0.000000	31.930643	19.763600
1:00:00.000 AM 1/1/2017	WNW	1.000000	27.551167	25.907250	27.151167	21.020621	76.147500	1.702500	0.000000	29.894496	0.000000	31.887836	13.783195	27.000000	19.900000	26.600000	20.634583	76.000000	0.000000	0.000000	29.882999	0.000000	31.845111	11.498815	27.900000	27.900000	27.500000	21.313498	77.000000	8.000000	0.000000	29.905001	0.000000	31.931769	16.438202
2:00:00.000 AM 1/1/2017	WNW	1.000000	26.416833	26.385417	26.083167	20.492183	78.026667	0.059167	0.000000	29.919840	0.000000	31.878322	8.805801	25.900000	22.299999	25.600000	20.262896	77.000000	0.000000	0.000000	29.903999	0.000000	31.835657	6.011209	27.000000	27.000000	26.600000	20.955719	79.000000	4.000000	0.000000	29.936001	0.000000	31.924116	12.542033
3:00:00.000 AM 1/1/2017	WNW	0.999444	25.383153	25.383153	25.083153	20.123553	80.170142	0.000000	0.000000	29.939361	0.000000	31.846679	4.828783	24.600000	24.600000	24.299999	19.699148	79.000000	0.000000	0.000000	29.924000	0.000000	31.800319	2.916058	25.900000	25.900000	25.600000	20.578554	82.000000	0.000000	0.000000	29.954000	0.000000	31.887652	6.662487
4:00:00.000 AM 1/1/2017	WNW	1.000278	24.140917	24.105000	23.890667	19.593128	82.540000	0.056667	0.000000	29.962686	0.000000	31.775443	4.998800	23.700001	19.400000	23.500000	19.390537	81.000000	0.000000	0.000000	29.952000	0.000000	31.706683	3.549972	24.700001	24.700001	24.400000	19.889376	84.000000	4.000000	0.000000	29.982000	0.000000	31.856815	6.711423
5:00:00.000 AM 1/1/2017	WNW	1.000000	23.381167	23.114917	23.181166	19.415181	84.558333	0.251667	0.000000	29.986672	0.000000	31.667008	5.638410	23.100000	16.600000	22.900000	19.180834	84.000000	0.000000	0.000000	29.978001	0.000000	31.592790	4.278601	23.700001	23.700001	23.500000	19.752626	85.000000	5.000000	0.000000	29.996000	0.000000	31.732118	7.332934
6:00:00.000 AM 1/1/2017	WNW	1.000278	23.173667	22.497417	22.973667	19.433523	85.363333	0.730000	0.000000	30.003707	0.000000	31.555683	8.198352	23.100000	15.000000	22.900000	19.261539	85.000000	0.000000	0.000000	29.993000	0.000000	31.485649	6.612198	23.400000	23.400000	23.200001	19.830574	86.000000	7.000000	0.000000	30.021999	0.000000	31.621601	9.713212
7:00:00.000 AM 1/1/2017	SW	1.000000	23.243833	22.650917	23.043833	19.482852	85.291667	0.570000	0.000000	30.040338	0.000000	31.457153	8.057639	22.700001	16.000000	22.500000	18.868662	85.000000	0.000000	0.000000	30.020000	0.000000	31.389762	6.244839	23.500000	23.500000	23.299999	19.928917	86.000000	6.000000	0.000000	30.052000	0.000000	31.543046	10.102445
8:00:00.000 AM 1/1/2017	SW	1.000000	22.964250	21.607417	22.764250	19.470250	86.252500	1.240000	0.000000	30.064747	31.437500	31.355566	8.952994	22.400000	14.900000	22.200001	18.672220	85.000000	0.000000	0.000000	30.049999	0.000000	31.299953	6.358046	24.200001	24.100000	24.000000	20.889879	87.000000	7.000000	0.000000	30.080999	86.000000	31.421950	12.905558
9:00:00.000 AM 1/1/2017	SW	0.999444	26.656047	21.685571	26.438699	22.575489	84.391993	4.486239	0.000000	30.089828	151.227690	31.307026	16.042178	24.200001	16.000000	24.000000	20.889879	81.000000	0.000000	0.000000	30.080000	86.000000	31.241431	12.584880	29.100000	28.900000	28.799999	24.095318	87.000000	10.000000	0.000000	30.099001	213.000000	31.340019	18.762553
10:00:00.000 AM 1/1/2017SW	1.000278	31.289333	26.575500	30.940333	25.067601	77.527500	4.938333	0.000000	30.103184	269.592500	31.371673	21.859557	29.100000	21.200001	28.799999	23.997017	74.000000	0.000000	0.000000	30.094999	150.000000	31.294776	18.530050	33.000000	32.900002	32.599998	25.774118	81.000000	12.000000	0.000000	30.110001	316.000000	31.468768	26.345841
11:00:00.000 AM 1/1/2017SSW	1.000000	34.367500	30.843667	33.865584	26.180085	71.745833	4.161667	0.000000	30.105808	350.886667	31.529253	36.393055	33.000000	25.500000	32.599998	25.614759	69.000000	0.000000	0.000000	30.090000	150.000000	31.436355	26.235791	35.900002	35.900002	35.299999	26.715147	74.000000	11.000000	0.000000	30.114000	380.000000	31.626102	46.517880
12:00:00.000 PM 1/1/2017SSW	1.000278	37.847583	36.551333	37.118333	26.608012	63.698333	2.012500	0.000000	30.079057	322.505000	31.651712	49.126869	35.900002	30.200001	35.299999	25.618822	60.000000	0.000000	0.000000	30.068001	42.000000	31.570506	45.050248	38.900002	38.900002	38.099998	27.318781	69.000000	8.000000	0.000000	30.091999	388.000000	31.730542	51.676464
1:00:00.000 PM 1/1/2017	S	1.000000	39.366666	36.252583	38.566667	26.693929	60.176667	4.650000	0.000000	30.081091	333.595000	31.730892	53.993963	38.799999	32.000000	38.000000	25.554804	58.000000	0.000000	0.000000	30.068001	42.000000	31.672695	49.710902	39.799999	39.799999	39.000000	27.831705	62.000000	13.000000	0.000000	30.091999	378.000000	31.796042	57.246382
2:00:00.000 PM 1/1/2017	S	1.000000	39.205084	35.505750	38.499667	27.821565	63.429167	5.409167	0.000000	30.094660	285.552500	31.772807	53.786434	38.700001	31.500000	38.000000	27.273161	62.000000	0.000000	0.000000	30.089001	150.000000	31.718838	50.234090	39.900002	39.799999	39.200001	28.511631	65.000000	13.000000	0.000000	30.101999	329.000000	31.817650	56.997417
3:00:00.000 PM 1/1/2017	SSE	0.999444	38.692744	35.911092	37.992744	27.921432	64.972477	4.030859	0.000000	30.108735	174.877398	31.794528	48.775455	38.400002	31.299999	37.700001	27.561184	64.000000	0.000000	0.000000	30.097000	105.000000	31.750125	44.434375	38.900002	38.900002	38.200001	28.406698	66.000000	12.000000	0.000000	30.124001	232.000000	31.843310	52.755764
4:00:00.000 PM 1/1/2017	SSE	1.000000	37.732250	36.233083	37.032250	27.379167	65.979167	2.295833	0.000000	30.131902	49.459167	31.810686	37.046565	36.799999	31.500000	36.099998	26.785116	65.000000	0.000000	0.000000	30.125000	11.000000	31.758678	28.153319	38.599998	38.599998	37.900002	27.843594	67.000000	10.000000	0.000000	30.136000	105.000000	31.856815	44.994547
5:00:00.000 PM 1/1/2017	SSE	1.000278	35.163583	35.038500	34.584250	25.822869	68.485833	0.245000	0.000000	30.137461	1.669167	31.810664	22.730818	33.500000	29.900000	33.000000	24.951153	67.000000	0.000000	0.000000	30.128000	0.000000	31.769932	19.512154	36.799999	36.799999	36.099998	26.863392	71.000000	4.000000	0.000000	30.149000	11.000000	31.861317	28.209246
6:00:00.000 PM 1/1/2017	SSE	1.000000	32.496583	32.480917	32.061167	24.886030	73.271667	0.062500	0.000000	30.167113	0.000000	31.782713	17.029866	31.700001	30.200001	31.299999	24.648102	71.000000	0.000000	0.000000	30.149000	0.000000	31.734594	15.290121	33.500000	33.500000	33.000000	25.244080	75.000000	3.000000	0.000000	30.174999	0.000000	31.832956	19.536735
7:00:00.000 PM 1/1/2017	SSE	1.000278	30.686000	30.686000	30.312583	24.296775	76.906667	0.000000	0.000000	30.169169	0.000000	31.730146	13.696412	29.700001	29.700001	29.400000	23.679075	75.000000	0.000000	0.000000	30.162001	0.000000	31.666168	11.443339	31.700001	31.700001	31.299999	24.901501	79.000000	0.000000	0.000000	30.176001	0.000000	31.786588	16.309886
8:00:00.000 PM 1/1/2017	SSE	1.000000	29.072250	29.068583	28.772250	23.654283	79.944167	0.009167	0.000000	30.186343	0.000000	31.658916	11.970414	28.799999	25.900000	28.500000	23.204611	78.000000	0.000000	0.000000	30.173000	0.000000	31.600443	10.104926	29.700001	29.700001	29.400000	23.886375	81.000000	3.000000	0.000000	30.197001	0.000000	31.736394	14.165944
9:00:00.000 PM 1/1/2017	SSE	1.000000	28.355917	28.355917	28.104500	23.657844	82.330000	0.000000	0.000000	30.168837	0.000000	31.582064	13.072632	28.100000	28.100000	27.799999	23.312887	81.000000	0.000000	0.000000	30.158001	0.000000	31.523013	10.348704	28.799999	28.799999	28.500000	24.084770	84.000000	0.000000	0.000000	30.183001	0.000000	31.633755	15.093925
10:00:00.000 PM 1/1/2017SSE	0.999444	27.980818	27.980818	27.780817	23.789194	84.061718	0.000000	0.000000	30.176315	0.000000	31.527606	13.797692	27.500000	27.500000	27.299999	23.300215	84.000000	0.000000	0.000000	30.171000	0.000000	31.477996	12.849631	28.299999	28.299999	28.100000	24.084770	85.000000	0.000000	0.000000	30.184000	0.000000	31.575458	15.364314
11:00:00.000 PM 1/1/2017SSE	1.000000	27.339000	27.339000	27.139000	23.594076	85.606667	0.000000	0.000000	30.185538	0.000000	31.456857	10.856129	26.900000	26.900000	26.700001	23.272385	85.000000	0.000000	0.000000	30.177999	0.000000	31.378733	8.976013	27.500000	27.500000	27.299999	23.862364	86.000000	0.000000	0.000000	30.191999	0.000000	31.519637	14.290652
12:00:00.000 AM 1/2/2017SSE	1.000556	26.329083	26.323750	26.129083	22.784754	86.268333	0.011667	0.000000	30.173469	0.000000	31.360517	8.569626	26.000000	24.400000	25.799999	22.387392	86.000000	0.000000	0.000000	30.159000	0.000000	31.293651	7.149818	26.900000	26.900000	26.700001	23.272385	87.000000	2.000000	0.000000	30.183001	0.000000	31.438381	11.202492
1:00:00.000 AM 1/2/2017	ESE	0.999444	26.515179	26.498999	26.333695	23.219959	87.185154	0.027523	0.000000	30.161521	0.000000	31.271521	9.637228	26.200001	21.500000	26.000000	22.859146	87.000000	0.000000	0.000000	30.153000	0.000000	31.210594	7.178458	26.799999	26.799999	26.700001	23.722939	88.000000	4.000000	0.000000	30.167999	0.000000	31.333266	11.574136
2:00:00.000 AM 1/2/2017	E	1.000278	27.071833	26.484000	26.871833	23.594305	86.554167	0.740000	0.000000	30.158373	0.000000	31.203331	15.796988	26.500000	21.000000	26.299999	22.879059	86.000000	0.000000	0.000000	30.150999	0.000000	31.159950	10.269550	28.000000	28.000000	27.799999	24.354000	87.000000	6.000000	0.000000	30.170000	0.000000	31.256962	20.628438
3:00:00.000 AM 1/2/2017	ENE	1.000000	28.173250	27.940000	27.973250	24.516410	85.971667	0.351667	0.000000	30.163747	0.000000	31.188356	17.824271	27.900000	22.299999	27.700001	24.073755	85.000000	0.000000	0.000000	30.158001	0.000000	31.141718	14.551118	28.299999	28.299999	28.100000	24.648979	86.000000	5.000000	0.000000	30.173000	0.000000	31.226575	21.087806
4:00:00.000 AM 1/2/2017	ENE	1.000278	27.494583	27.435500	27.294583	24.041413	86.666667	0.074167	0.000000	30.157521	0.000000	31.109580	12.871600	27.100000	21.900000	26.900000	23.745270	86.000000	0.000000	0.000000	30.150999	0.000000	31.039079	10.563166	27.900000	27.900000	27.700001	24.255674	87.000000	5.000000	0.000000	30.170000	0.000000	31.175931	15.455195
