Timestamp_Hrly	Dom_Wind_Direction_Hrly	ENV__Dur_(Hrs)_Hrly	Outside_Temp_(°F)_Hrly-Ave	Wind_Chill_(°F)_Hrly-Ave	Heat_Index_(°F)_Hrly-Ave	Dew_Point_(°F)_Hrly-Ave	Outside_Humidity_(%)_Hrly-Ave	Wind_Speed_(mph)_Hrly-Ave	Rain_Rate_(in/hr)_Hrly-Ave	Barometer_(inHg)_Hrly-Ave	Solar_Radiance_(W/m2)_Hrly-Ave	Gr_Roof_Temp_(°F)_Hrly-Ave	Wh_Roof_Temp_(°F)_Hrly-Ave	Outside_Temp_(°F)_Hrly-Min	Wind_Chill_(°F)_Hrly-Min	Heat_Index_(°F)_Hrly-Min	Dew_Point_(°F)_Hrly-Min	Outside_Humidity_(%)_Hrly-Min	Wind_Speed_(mph)_Hrly-Min	Rain_Rate_(in/hr)_Hrly-Min	Barometer_(inHg)_Hrly-Min	Solar_Radiance_(W/m2)_Hrly-Min	Gr_Roof_Temp_(°F)_Hrly-Min	Wh_Roof_Temp_(°F)_Hrly-Min	Outside_Temp_(°F)_Hrly-Max	Wind_Chill_(°F)_Hrly-Max	Heat_Index_(°F)_Hrly-Max	Dew_Point_(°F)_Hrly-Max	Outside_Humidity_(%)_Hrly-Max	Wind_Speed_(mph)_Hrly-Max	Rain_Rate_(in/hr)_Hrly-Max	Barometer_(inHg)_Hrly-Max	Solar_Radiance_(W/m2)_Hrly-Max	Gr_Roof_Temp_(°F)_Hrly-Max	Wh_Roof_Temp_(°F)_Hrly-Max
12:00:00.000 AM 3/1/2015		0.999172	13.308946	8.036382	13.096421	7.221625	76.274354	3.264414	0.000000	30.507219	0.000000	18.219079	20.677953	12.900000	2.200000	12.700000	6.130023	71.000000	0.000000	0.000000	30.495001	0.000000	18.177912	20.609270	13.900000	13.700000	13.600000	7.989967	80.000000	8.000000	0.000000	30.521999	0.000000	18.258943	20.728340
1:00:00.000 AM 3/1/2015		1.000505	12.802209	12.108233	12.627309	8.302851	81.849398	0.479920	0.000000	30.481074	0.000000	18.252518	20.659650	12.800000	3.400000	12.600000	7.794721	80.000000	0.000000	0.000000	30.469999	0.000000	18.222254	20.519290	12.900000	12.900000	12.700000	8.612320	83.000000	6.000000	0.000000	30.499001	0.000000	18.274248	20.745028
2:00:00.000 AM 3/1/2015		0.999002	12.761446	12.761446	12.661446	8.880328	84.150602	0.000000	0.000000	30.457450	0.000000	18.294572	20.533255	12.700000	12.700000	12.600000	8.612320	83.000000	0.000000	0.000000	30.438000	0.000000	18.256241	20.487493	12.800000	12.800000	12.700000	9.142854	85.000000	0.000000	0.000000	30.472000	0.000000	18.332996	20.593709
3:00:00.000 AM 3/1/2015		1.001784	12.690161	12.690161	12.590161	9.217807	85.700803	0.000000	0.000000	30.422757	0.000000	18.354445	20.469960	12.600000	12.600000	12.500000	9.044593	85.000000	0.000000	0.000000	30.403000	0.000000	18.301484	20.414427	12.700000	12.700000	12.600000	9.305572	86.000000	0.000000	0.000000	30.441999	0.000000	18.398271	20.513202
4:00:00.000 AM 3/1/2015		0.999399	12.711824	12.711824	12.611824	9.443530	86.488978	0.006012	0.000000	30.391767	0.000000	18.426697	20.455610	12.600000	12.600000	12.500000	9.207187	86.000000	0.000000	0.000000	30.385000	0.000000	18.376887	20.420742	12.800000	12.800000	12.700000	9.662362	87.000000	1.000000	0.000000	30.403999	0.000000	18.486279	20.488170
5:00:00.000 AM 3/1/2015		1.000616	12.945182	12.945182	12.845182	9.805376	87.000000	0.000000	0.000000	30.397321	0.000000	18.502266	20.471098	12.800000	12.800000	12.700000	9.662362	87.000000	0.000000	0.000000	30.393000	0.000000	18.440362	20.407662	13.100000	13.100000	13.000000	9.957882	87.000000	0.000000	0.000000	30.400999	0.000000	18.570461	20.520418
6:00:00.000 AM 3/1/2015		0.998012	13.260643	13.260643	13.160643	10.196445	87.313253	0.000000	0.000000	30.394920	0.000000	18.583687	20.508040	13.100000	13.100000	13.000000	9.957882	87.000000	0.000000	0.000000	30.384001	0.000000	18.520042	20.457726	13.400000	13.400000	13.300000	10.509896	88.000000	0.000000	0.000000	30.400999	0.000000	18.651717	20.577247
7:00:00.000 AM 3/1/2015		1.000119	13.630461	13.630461	13.530461	10.737191	88.000000	0.000000	0.000000	30.376904	8.945892	18.678206	20.568499	13.400000	13.400000	13.300000	10.509896	88.000000	0.000000	0.000000	30.370001	0.000000	18.619980	20.515231	14.100000	14.100000	14.000000	11.200274	88.000000	0.000000	0.000000	30.386999	26.000000	18.761334	20.639714
8:00:00.000 AM 3/1/2015		1.001504	14.988048	14.976892	14.888048	12.076085	88.000000	0.021912	0.000000	30.374072	49.344622	18.789982	20.663489	14.100000	11.600000	14.000000	11.200274	88.000000	0.000000	0.000000	30.365999	26.000000	18.700110	20.577473	16.299999	16.299999	16.200001	13.369929	88.000000	2.000000	0.000000	30.379000	77.000000	18.893909	20.753597
9:00:00.000 AM 3/1/2015		0.998591	18.310822	18.288577	18.166934	15.140475	87.200401	0.068136	0.000000	30.359024	107.370741	18.967798	20.810094	16.299999	16.299999	16.200001	13.369929	85.000000	0.000000	0.000000	30.344000	77.000000	18.852043	20.708044	19.900000	19.900000	19.700001	16.261545	88.000000	2.000000	0.000000	30.368000	167.000000	19.114043	20.954754
